Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
MT,2.1566,1.7691,1.9036,1.8579,1.7653,1.7070,2.0051,2.1488,1.7862,1.9356,1.8455,2.0709,1.9549,2.1066,2.4543,2.1531,1.9267,1.6916,1.6659,2.2221,2.0656,1.9412,1.9236,1.7982,1.8636,1.7046,1.3221,1.3157,1.3751,1.4159,1.4284,1.5284,1.4982,1.5070,1.4496,1.6979,1.3727,1.1608,1.5427,1.1889,1.2307,1.0693,1.0886,0.7661,1.2148
NC,7.3189,7.2742,6.8438,7.7620,7.2608,7.0577,6.5748,5.8945,5.0744,4.6304,4.8463,4.6684,4.1583,4.8995,5.3343,4.9388,5.9458,5.9801,5.9665,7.8308,6.0114,5.3264,6.0677,5.7738,5.7592,4.8837,4.1031,3.6918,4.0630,4.2467,4.2155,5.2191,5.5189,4.3021,4.3787,4.8229,4.4314,5.1348,4.2039,4.1586,4.4411,4.3840,4.4816,3.8021,3.6412
ND,3.1326,2.4697,2.7618,2.3145,2.1442,2.2979,2.1550,1.8795,1.6603,1.6149,1.4946,1.6117,1.7422,1.5358,1.3541,1.4834,1.8211,1.4372,1.7425,1.7231,1.5955,1.4554,1.5465,1.5532,1.3669,1.4558,1.2444,1.1458,1.3282,1.8206,0.9645,1.4656,1.0275,0.9359,0.9016,0.8472,1.1269,0.6650,0.8709,0.7030,0.9790,0.7564,0.8103,0.7919,1.3224
NE,3.0331,2.9249,2.7546,2.4845,2.3003,2.1676,2.3457,2.0711,1.6218,1.6095,1.6295,1.8441,2.3247,2.5354,3.1974,3.2998,3.3278,3.6494,4.1546,4.2673,5.1038,4.5989,5.0488,4.7649,4.8745,4.5505,3.2179,3.2864,2.9637,2.7697,2.6548,3.2062,2.8871,2.8025,2.8030,2.3792,2.9660,2.7185,2.1759,2.9638,2.1931,2.4979,2.5026,1.9555,2.2969
NH,0.4181,0.4588,0.4754,0.4360,0.3937,0.3704,0.3721,0.3840,0.3801,0.3460,0.3143,0.2713,0.2140,0.2247,0.1986,0.2357,0.2535,0.2787,0.3933,0.3786,0.3990,0.3671,0.4220,0.4097,0.4023,0.3915,0.3199,0.3001,0.3009,0.2665,0.2989,0.3233,0.4078,0.3210,0.3400,0.3477,0.3087,0.3004,0.2816,0.2674,0.2782,0.2835,0.2993,0.2729,0.2485
NJ,2.6345,2.5144,2.5339,2.6385,2.8220,2.9589,2.6480,2.2742,2.1464,2.0872,2.0044,1.8463,1.8589,1.8727,1.6806,1.5980,1.9509,1.8573,1.6722,1.7938,1.8879,1.7112,1.9019,1.7042,1.7214,1.7120,1.5180,1.3882,1.6474,1.2777,1.2520,1.1399,1.2391,1.3319,1.9989,1.5822,1.4377,1.7158,1.2816,1.7422,1.8605,1.8065,1.5598,1.3779,1.3254
NM,2.5157,2.1751,2.0095,1.9222,1.8667,1.7324,1.4578,1.4451,1.3434,1.3229,1.1677,1.2655,1.1563,1.2473,1.3091,1.4247,1.4002,1.4322,1.4129,2.0625,1.7881,1.4286,1.5059,1.4522,1.8406,1.3276,1.2006,1.1284,0.9368,1.0830,1.1281,1.4374,1.2008,1.5255,1.3070,1.1615,1.1316,1.1146,0.9755,1.1096,1.1378,1.2425,1.2342,1.6691,1.7359
NV,0.3489,0.2691,0.2967,0.3075,0.3365,0.3953,0.3141,0.4765,0.4615,0.3725,0.4396,0.4104,0.4867,0.4424,0.4964,0.4965,0.6051,0.5700,0.6462,0.5597,0.5893,0.5577,0.5507,0.5283,0.5294,0.5682,0.5207,0.4294,0.3768,0.3891,0.4879,0.5073,0.5050,0.4910,0.4420,0.3852,0.4222,0.4283,0.4061,0.4058,0.4935,0.4709,0.5022,0.3893,0.5328
NY,7.1609,7.2907,7.2476,6.8855,6.7651,6.3835,5.2361,4.9255,4.7052,4.9607,4.5076,4.6707,4.3994,5.0169,5.3572,5.2481,4.9920,5.6100,5.7029,5.7843,6.6926,7.0304,5.7076,6.4616,8.4094,5.6485,5.5549,6.5702,5.4491,5.2418,4.5914,5.1602,4.7176,4.8813,4.7671,4.6102,3.9166,3.8827,3.7903,3.9194,4.0849,4.3888,4.3721,4.2069,3.5663
OH,3.2440,3.4424,3.4600,3.6893,3.4543,3.1662,2.7655,2.5817,2.5561,2.3738,2.4241,2.3469,2.3312,2.6108,2.7215,3.6994,3.8983,3.5021,4.1377,3.8968,4.9358,3.4693,3.5934,3.8499,4.1184,3.6301,3.2832,3.1747,3.4551,3.7078,3.4468,2.7344,2.8881,3.2220,3.1288,3.4961,2.2166,2.3944,2.3308,2.1780,2.4780,2.2750,2.2369,2.3305,2.2499
OK,3.3620,3.3840,3.0757,2.6273,2.0519,2.0979,1.8312,2.0859,1.8715,1.7309,1.9532,1.8837,2.1151,2.0147,2.7680,2.2381,2.7831,2.7917,2.3293,3.0287,3.1977,2.7059,2.3608,2.2480,2.1593,2.1126,1.8050,1.8124,1.9511,1.7382,1.7305,1.4724,2.0681,2.3115,1.9310,1.8356,2.0388,2.8145,2.4000,1.8749,2.4145,3.3221,1.9010,1.8637,2.0552
OR,4.3103,3.8809,4.2484,4.2451,4.3553,3.9944,3.1397,2.9072,2.8275,2.8229,2.8151,2.7106,2.3823,3.0420,2.7899,3.8451,3.4202,4.2775,4.2324,4.2313,4.1397,4.1671,4.8799,4.8953,4.6658,3.9856,3.2734,3.4123,4.4523,5.1848,5.0753,5.3971,4.2724,4.4387,4.2516,6.0161,5.4292,5.8401,4.8883,6.0484,5.1020,5.9398,6.4402,5.9140,5.2673
PA,4.4739,4.4546,4.3030,4.3201,4.2377,4.0423,3.7228,3.7194,3.4073,3.3281,3.3807,3.1265,3.0754,3.8394,4.3884,4.2813,5.6209,5.0046,4.6386,4.2514,5.6280,4.1928,5.5693,6.0533,4.1618,4.6098,5.0192,3.9699,4.9391,4.6589,4.3507,5.1952,4.8284,3.9399,3.6278,3.8357,3.6297,4.0816,3.0381,3.4456,4.4191,4.2089,4.1670,3.6294,3.6332
RI,0.2087,0.1865,0.1395,0.1400,0.1479,0.1538,0.1464,0.1533,0.1524,0.1300,0.1233,0.1060,0.0995,0.0897,0.1531,0.1525,0.1914,0.1960,0.1443,0.1234,0.1337,0.1311,0.1519,0.1498,0.1635,0.1654,0.1385,0.1248,0.1059,0.0933,0.0736,0.1051,0.1174,0.1181,0.1351,0.0821,0.0731,0.0726,0.0682,0.0649,0.0675,0.0688,0.0726,0.0662,0.0602
SC,3.6694,4.1977,4.2085,4.0378,3.9845,4.1319,3.2153,3.1321,2.9912,2.7792,2.9220,2.7915,2.6198,2.8552,3.1950,3.4202,3.1786,2.4727,2.5218,2.5151,2.6030,2.2355,2.3418,2.3197,2.3624,2.0133,1.8639,1.4560,1.7552,2.1559,2.2945,2.0507,1.5104,1.4824,1.0595,1.9475,0.8186,1.5358,1.8237,1.3329,1.4693,1.3014,1.5285,1.0912,1.4373
SD,1.9094,1.9817,2.1451,2.0731,1.9777,1.9332,1.8797,1.7923,1.6352,1.8323,1.6647,1.6032,1.5866,1.8969,2.1901,2.0944,1.8245,1.8824,1.9058,2.1807,1.5251,1.3286,1.4266,1.4239,1.2574,1.3955,0.9972,1.3741,1.0288,0.8154,1.0761,0.9755,0.7503,0.8236,0.8019,0.8372,0.9376,0.9453,1.3062,1.3716,0.7829,0.8146,1.0218,0.8597,0.6251
TN,4.6430,4.1922,3.8074,4.2020,3.7144,3.1612,3.6291,2.8409,2.4732,2.1881,2.2565,2.2527,2.3036,2.1685,2.5353,2.0358,2.2769,2.4181,2.3487,2.8329,3.2603,2.9348,2.8500,2.7196,2.6295,2.4154,1.5278,1.1902,1.2959,2.0368,2.0883,2.1107,2.6381,2.0584,1.1982,1.9615,1.7345,2.2062,1.5044,1.4909,1.5790,1.8602,1.5775,1.9691,1.7267
TX,19.3482,19.7397,19.2670,16.2769,15.3353,13.7552,14.2424,13.0685,13.3390,13.2641,12.4748,10.8150,10.7231,9.6256,12.2937,12.2813,12.4549,12.5224,13.1880,12.6050,13.1792,10.9222,11.2540,10.9208,10.4823,10.6292,9.3331,9.5915,10.2937,7.9544,8.7174,8.4470,8.6829,8.8645,8.8783,7.5449,8.7915,8.1043,7.2635,6.5909,7.3891,8.7442,8.8189,6.9392,6.5752
UT,1.0148,1.0398,1.0308,1.0771,1.1486,1.0984,0.9292,0.8657,0.8027,0.7740,0.7051,0.6718,0.5809,0.6572,0.6909,0.9455,0.8318,0.8903,0.9018,0.8024,1.0266,1.0197,1.1063,0.9901,1.0175,0.8850,0.9387,0.8122,0.8553,0.8357,0.8185,1.0376,1.3265,0.8852,1.3199,0.8360,0.8971,0.9724,1.1980,1.3470,0.9679,1.1263,0.8365,1.0566,1.1540
VA,5.6842,5.4088,5.0276,5.0359,4.6577,4.4973,3.8861,3.4206,3.2964,3.2523,2.9155,3.2729,2.8953,3.0290,3.1702,3.0405,3.3351,2.5176,2.7521,3.1756,3.4193,3.9476,3.4942,2.9956,2.9685,2.9411,2.5158,2.2827,1.9503,1.8589,2.3466,3.1431,2.5622,2.6134,2.2122,2.9462,1.9948,1.9029,1.7641,1.7826,1.3388,1.4619,1.9013,1.6113,1.6719
VT,1.1364,0.8851,0.7727,0.8188,0.7611,0.7207,0.6463,0.5258,0.5216,0.5834,0.5336,0.5114,0.4654,0.4958,0.5965,0.7305,0.7793,0.8604,0.9438,0.8938,1.1203,0.9692,1.0320,0.9543,0.9213,0.9518,0.8426,0.9708,0.9274,0.7713,0.7202,0.7167,0.6808,0.7108,0.7585,0.7706,0.6830,0.6874,0.6449,0.6127,0.6373,0.6494,0.6865,0.6260,0.5696
WA,5.2096,4.9498,4.5846,4.8123,4.7659,4.1564,4.4279,3.5015,3.5973,3.9286,4.1731,3.7614,3.5424,4.1191,5.5968,6.2315,7.8850,6.0744,5.9039,6.9670,7.3790,7.7056,5.7801,7.5082,6.6212,5.2836,4.9648,6.1366,5.4730,6.6257,7.8201,8.5587,5.8691,7.3084,8.9492,7.6799,9.2733,8.9707,8.6903,8.4265,7.9222,7.7161,7.0896,7.1670,7.8872
WI,5.6280,5.9308,6.0137,6.5409,4.9536,6.0648,5.3564,5.3570,5.8706,5.3559,5.1601,5.1638,5.2496,5.5509,6.8141,5.9797,6.9882,7.6273,8.0985,9.3905,10.3313,7.3376,8.1579,7.2204,7.3276,7.6625,7.2274,7.2372,6.8992,6.4646,5.8961,5.5570,4.9696,4.3935,4.4083,4.3371,4.4803,3.8986,2.4909,2.6253,2.5358,2.7371,2.6459,2.7533,3.1843
WV,1.0456,1.0266,0.9055,0.8298,0.7744,0.6995,0.5792,0.5366,0.5111,0.4430,0.4242,0.4278,0.3567,0.4357,0.4608,0.3721,0.6068,0.3893,0.6048,0.5523,0.6137,0.5280,0.5073,0.4458,0.4280,0.4206,0.3565,0.3677,0.3119,0.4021,0.3627,0.4442,0.4823,0.4270,0.4615,0.3737,0.2869,0.3554,0.4287,0.3412,0.1882,0.4770,0.4584,0.4324,0.3265
WY,1.3637,1.3448,1.3321,1.4774,1.6507,1.5822,1.4932,1.3553,1.2972,1.2017,1.1935,1.2005,1.1792,1.3000,1.3481,1.2662,1.3060,1.1358,1.1927,1.3883,1.3795,1.2759,1.1280,1.0726,1.0416,1.0394,0.7918,0.7970,0.8558,0.9104,0.9629,1.2647,1.0015,1.2734,1.0397,0.7824,1.4129,1.1279,0.9993,0.9385,0.7848,0.7810,0.7988,0.6679,0.7720
